frame,cx,cy,x,y,w,h,area,detected
27,796,152,790,132,11,50,222,1
28,796,152,790,132,11,50,222,1
29,796,152,790,132,11,50,222,1
29,756,167,728,147,55,50,730,1
30,796,152,790,132,11,50,222,1
30,769,177,728,147,74,67,1559,1
31,796,152,790,132,11,50,222,1
31,769,177,728,147,74,67,1559,1
32,796,152,790,132,11,50,222,1
32,769,177,728,147,74,67,1559,1
33,796,152,790,132,11,50,222,1
33,769,177,728,147,74,67,1559,1
33,588,248,583,240,10,18,130,1
33,628,255,623,250,11,15,85,1
34,769,177,728,147,74,67,1559,1
34,588,248,583,240,10,18,130,1
34,628,255,623,250,11,15,85,1
35,769,177,728,147,74,67,1559,1
35,588,248,583,240,10,18,130,1
35,628,255,623,250,11,15,85,1
36,780,185,751,150,51,64,888,1
36,713,232,689,193,50,81,2013,1
36,588,248,583,240,10,18,130,1
36,628,255,623,250,11,15,85,1
37,717,234,689,193,71,81,2333,1
37,588,248,583,240,10,19,134,1
37,628,256,622,250,11,15,95,1
38,717,234,689,193,71,81,2333,1
38,588,248,583,240,10,19,134,1
38,628,256,622,250,11,15,95,1
38,768,274,761,259,17,29,178,1
39,717,234,689,193,71,81,2333,1
39,588,248,583,240,10,19,134,1
39,628,256,622,250,11,15,95,1
39,768,274,761,259,17,29,178,1
40,717,234,689,193,71,81,2333,1
40,768,274,761,259,17,29,178,1
41,717,234,689,193,71,81,2333,1
41,768,274,761,259,17,29,178,1
42,717,234,689,193,71,81,2333,1
42,768,274,761,259,17,29,178,1
43,745,248,732,234,28,27,321,1
43,768,274,761,259,17,29,178,1
44,768,274,761,259,17,29,178,1
46,747,110,730,106,40,9,214,1
46,762,119,750,118,25,5,82,1
47,747,110,730,106,40,9,214,1
47,774,130,748,118,52,27,914,1
48,747,110,730,106,40,9,214,1
48,774,130,748,118,52,27,914,1
49,747,110,730,106,40,9,214,1
49,774,130,748,118,52,27,914,1
50,747,110,730,106,40,9,214,1
50,774,130,748,118,52,27,914,1
51,747,110,730,106,40,9,214,1
51,774,130,748,118,52,27,914,1
52,747,110,730,106,40,9,214,1
52,774,130,748,118,52,27,914,1
53,775,131,748,121,52,24,842,1
159,680,201,657,179,49,44,954,1
160,691,208,657,179,68,60,1488,1
161,691,208,657,179,68,60,1488,1
161,733,228,725,219,16,25,201,1
162,691,208,657,179,68,60,1488,1
162,733,228,725,219,16,25,201,1
163,691,208,657,179,68,60,1488,1
163,733,228,725,219,16,25,201,1
164,691,208,657,179,68,60,1488,1
164,733,228,725,219,16,25,201,1
165,691,208,657,179,68,60,1488,1
165,733,228,725,219,16,25,201,1
166,710,219,690,194,35,45,553,1
166,677,200,671,197,12,11,80,1
166,733,228,725,219,16,25,201,1
167,733,228,725,219,16,25,201,1
184,470,275,456,259,30,34,406,1
185,470,275,456,259,30,34,406,1
186,470,275,456,259,30,34,406,1
187,470,275,456,259,30,34,406,1
188,470,275,456,259,30,34,406,1
189,470,275,456,259,30,34,406,1
190,470,275,456,259,30,34,406,1
191,704,228,699,219,13,17,101,1
192,704,228,699,219,13,17,101,1
192,718,263,680,242,75,39,1417,1
193,704,228,699,219,13,17,101,1
193,718,263,680,242,75,39,1417,1
194,704,228,699,219,13,17,101,1
194,718,263,680,242,75,39,1417,1
195,704,228,699,219,13,17,101,1
195,718,263,680,242,75,39,1417,1
196,704,228,699,219,13,17,101,1
196,718,263,680,242,75,39,1417,1
197,704,228,699,219,13,17,101,1
197,718,263,680,242,75,39,1417,1
198,718,263,680,242,75,39,1417,1
209,595,237,588,228,13,16,97,1
210,595,237,588,228,13,16,97,1
211,595,237,588,228,13,16,97,1
212,595,237,588,228,13,16,97,1
213,694,150,679,114,35,64,1081,1
213,595,237,588,228,13,16,97,1
214,704,154,679,114,57,72,1882,1
214,595,237,588,228,13,16,97,1
215,704,154,679,114,57,72,1882,1
215,750,178,745,171,16,17,156,1
215,595,237,588,228,13,16,97,1
215,184,424,170,414,30,23,528,1
216,704,154,679,114,57,72,1882,1
216,763,192,745,171,39,50,496,1
216,184,424,170,414,30,23,528,1
217,704,154,679,114,57,72,1882,1
217,763,193,745,171,43,52,515,1
217,184,424,170,414,30,23,528,1
218,704,154,679,114,57,72,1882,1
218,763,193,745,171,43,52,515,1
218,184,424,170,414,30,23,528,1
219,704,154,679,114,57,72,1882,1
219,763,193,745,171,43,52,515,1
219,712,205,697,181,31,47,806,1
219,184,424,170,414,30,23,528,1
220,718,160,702,126,34,60,804,1
220,763,193,745,171,43,52,515,1
220,712,205,697,181,31,47,806,1
220,738,234,732,230,15,10,81,1
220,184,424,170,414,30,23,528,1
221,763,193,745,171,43,52,515,1
221,712,205,697,181,31,47,806,1
221,738,234,732,230,15,10,81,1
221,770,254,762,247,19,17,241,1
221,184,424,170,414,30,23,528,1
222,769,199,755,178,33,45,367,1
222,712,205,697,181,31,47,806,1
222,738,234,732,230,15,10,81,1
222,770,254,762,247,19,17,241,1
223,712,205,697,181,31,47,806,1
223,669,255,655,230,29,47,663,1
223,738,234,732,230,15,10,81,1
223,770,254,762,247,19,17,241,1
224,712,205,697,181,31,47,806,1
224,678,264,655,230,43,71,1410,1
224,738,234,732,230,15,10,81,1
224,770,254,762,247,19,17,241,1
225,712,205,697,181,31,47,806,1
225,678,264,655,230,43,71,1410,1
225,738,234,732,230,15,10,81,1
225,770,254,762,247,19,17,241,1
225,702,290,697,273,11,38,260,1
226,678,264,655,230,43,71,1410,1
226,738,234,732,230,15,10,81,1
226,770,254,762,247,19,17,241,1
